state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
North Dakota,I-94,29761,Weigh Station,WEIGH STATION,Weigh Station,"Beach, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Weigh%20Station/29761,46.931645,-104.03203,http://maps.google.com/maps?t=m&q=loc:46.931645+-104.03203,Eastbound
North Dakota,I-94,29762,Exit 1,EXIT 1,ND 16,"Beach, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%201/29762,46.931595,-104.011914,http://maps.google.com/maps?t=m&q=loc:46.931595+-104.011914,Eastbound
North Dakota,I-94,29763,Exit 7,EXIT 7,Home on the Range,"Sentinel Butte, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%207/29763,46.935439,-103.89613,http://maps.google.com/maps?t=m&q=loc:46.935439+-103.89613,Eastbound
North Dakota,I-94,77067,Exit 10,EXIT 10,Sentinel Butte; Camel Hump Lake,"Sentinel Butte, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2010/77067,46.942706,-103.832649,http://maps.google.com/maps?t=m&q=loc:46.942706+-103.832649,Eastbound
North Dakota,I-94,77068,Exit 18,EXIT 18,Buffalo Gap,"Sentinel Butte, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2018/77068,46.949775,-103.667256,http://maps.google.com/maps?t=m&q=loc:46.949775+-103.667256,Eastbound
North Dakota,I-94,29766,Scenic Area,SCENIC AREA,Scenic Area,"Fairfield, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Scenic%20Area/29766,46.938144,-103.602524,http://maps.google.com/maps?t=m&q=loc:46.938144+-103.602524,Eastbound
North Dakota,I-94,29767,Exit 24,EXIT 24,I 94 Business,"Medora, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2024/29767,46.929138,-103.558706,http://maps.google.com/maps?t=m&q=loc:46.929138+-103.558706,Eastbound
North Dakota,I-94,55044,Exit 32,EXIT 32,Painted Canyon Visitor Center,"Belfield, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2032/55044,46.891122,-103.389272,http://maps.google.com/maps?t=m&q=loc:46.891122+-103.389272,Eastbound
North Dakota,I-94,29769,Exit 36,EXIT 36,Main St,"Fryburg, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2036/29769,46.895978,-103.311479,http://maps.google.com/maps?t=m&q=loc:46.895978+-103.311479,Eastbound
North Dakota,I-94,29770,Exit 42,EXIT 42,US-85; Belfield; Watford City,"Belfield, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2042/29770,46.89671,-103.196425,http://maps.google.com/maps?t=m&q=loc:46.89671+-103.196425,Eastbound
North Dakota,I-94,29771,Exit 51,EXIT 51,S Heart,"Belfield, North Dakota",https://www.iexitapp.com/North%20Dakota/I-94/Exit%2051/29771,46.88898,-103.00323,http://maps.google.com/maps?t=m&q=loc:46.88898+-103.00323,Eastbound
