state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
North Carolina,I-73,51689,Exit 25,EXIT 25,US-220; Ellerbe,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2025/51689,35.039402,-79.768336,http://maps.google.com/maps?t=m&q=loc:35.039402+-79.768336,Northbound
North Carolina,I-73,12213,Exit 28,EXIT 28,Millstone Road;Milestone Road,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2028/12213,35.065705,-79.73617,http://maps.google.com/maps?t=m&q=loc:35.065705+-79.73617,Northbound
North Carolina,I-73,12214,Exit 30,EXIT 30,Haywood Parker Road,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2030/12214,35.09639,-79.722992,http://maps.google.com/maps?t=m&q=loc:35.09639+-79.722992,Northbound
North Carolina,I-73,12215,Exit 33,EXIT 33,NC 73,"Ellerbe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2033/12215,35.142928,-79.713661,http://maps.google.com/maps?t=m&q=loc:35.142928+-79.713661,Northbound
North Carolina,I-73,12216,Exit 35,EXIT 35,State Road 1321,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2035/12216,35.169647,-79.714777,http://maps.google.com/maps?t=m&q=loc:35.169647+-79.714777,Northbound
North Carolina,I-73,12217,Exit 39,EXIT 39,Tabernacle Church Rd,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2039/12217,35.222988,-79.729808,http://maps.google.com/maps?t=m&q=loc:35.222988+-79.729808,Northbound
North Carolina,I-73,12218,Exit 41,EXIT 41,US 220,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2041/12218,35.248506,-79.732121,http://maps.google.com/maps?t=m&q=loc:35.248506+-79.732121,Northbound
North Carolina,I-73,12219,Exit 44,EXIT 44,North Carolina 211,"Candor, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2044/12219,35.297471,-79.728616,http://maps.google.com/maps?t=m&q=loc:35.297471+-79.728616,Northbound
North Carolina,I-73,12220,Exit 49,EXIT 49,State Route 24; State Route 27,"Biscoe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2049/12220,35.356985,-79.76498,http://maps.google.com/maps?t=m&q=loc:35.356985+-79.76498,Northbound
North Carolina,I-73,12221,Exit 52,EXIT 52,Star,"Biscoe, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2052/12221,35.404266,-79.768831,http://maps.google.com/maps?t=m&q=loc:35.404266+-79.768831,Northbound
North Carolina,I-73,12222,Exit 56,EXIT 56,"U.S. 220 Alt; Steed Road, State Road 1362; Ether","Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2056/12222,35.448292,-79.778917,http://maps.google.com/maps?t=m&q=loc:35.448292+-79.778917,Northbound
North Carolina,I-73,12223,Exit 58,EXIT 58,Black Ankle Road,"Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2058/12223,35.484583,-79.780985,http://maps.google.com/maps?t=m&q=loc:35.484583+-79.780985,Northbound
North Carolina,I-73,51690,Seagrove Welcome Center,WELCOME CENTER,"Seagrove Welcome Center
          (MM: 58.0)","Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Welcome%20Center/51690,35.512061,-79.781004,http://maps.google.com/maps?t=m&q=loc:35.512061+-79.781004,Northbound
North Carolina,I-73,12224,Exit 61,EXIT 61,North Carolina 705; Robbins; Seagrove,"Seagrove, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2061/12224,35.531902,-79.788425,http://maps.google.com/maps?t=m&q=loc:35.531902+-79.788425,Northbound
North Carolina,I-73,12225,Exit 66,EXIT 66,New Hope Church Road,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2066/12225,35.589266,-79.810806,http://maps.google.com/maps?t=m&q=loc:35.589266+-79.810806,Northbound
North Carolina,I-73,12226,Exit 68,EXIT 68,U.S 220 Business; Ulah; Troy; North Carolina 134 S,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2068/12226,35.618182,-79.823635,http://maps.google.com/maps?t=m&q=loc:35.618182+-79.823635,Northbound
North Carolina,I-73,12227,Exit 71,EXIT 71,McDowell Road,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2071/12227,35.66759,-79.833641,http://maps.google.com/maps?t=m&q=loc:35.66759+-79.833641,Northbound
North Carolina,I-73,12228,Exit 72A,EXIT 72A,W Dixie Dr,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2072A/12228,35.682818,-79.828856,http://maps.google.com/maps?t=m&q=loc:35.682818+-79.828856,Northbound
North Carolina,I-73,12229,Exit 72B,EXIT 72B,U.S. 64 W; North Carolina 49 S,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2072B/12229,35.686073,-79.830127,http://maps.google.com/maps?t=m&q=loc:35.686073+-79.830127,Northbound
North Carolina,I-73,51691,Exit 74,EXIT 74,Sunset Avenue,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2074/51691,35.703906,-79.831829,http://maps.google.com/maps?t=m&q=loc:35.703906+-79.831829,Northbound
North Carolina,I-73,51692,Exit 75,EXIT 75,West Presnell Street,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2075/51692,35.715653,-79.826664,http://maps.google.com/maps?t=m&q=loc:35.715653+-79.826664,Northbound
North Carolina,I-73,12232,Exit 76,EXIT 76,Vision Drive,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2076/12232,35.729963,-79.823866,http://maps.google.com/maps?t=m&q=loc:35.729963+-79.823866,Northbound
North Carolina,I-73,12233,Exit 77,EXIT 77,Spero Road,"Asheboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2077/12233,35.749,-79.825841,http://maps.google.com/maps?t=m&q=loc:35.749+-79.825841,Northbound
North Carolina,I-73,12234,Exit 78,EXIT 78,Pineview Road,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2078/12234,35.768545,-79.827987,http://maps.google.com/maps?t=m&q=loc:35.768545+-79.827987,Northbound
North Carolina,I-73,12236,Exit 81,EXIT 81,US Hwy 311 Extended;US 311,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2081/12236,35.797387,-79.822948,http://maps.google.com/maps?t=m&q=loc:35.797387+-79.822948,Northbound
North Carolina,I-73,12237,Randleman,EXIT,Randleman,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12237,35.82048,-79.825074,http://maps.google.com/maps?t=m&q=loc:35.82048+-79.825074,Northbound
North Carolina,I-73,12238,U.S. 220 Business N,EXIT,U.S. 220 Business N,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12238,35.879225,-79.819649,http://maps.google.com/maps?t=m&q=loc:35.879225+-79.819649,Northbound
North Carolina,I-73,12239,Climax; Hign Point,EXIT,Climax; Hign Point,"Randleman, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%20/12239,35.918116,-79.823953,http://maps.google.com/maps?t=m&q=loc:35.918116+-79.823953,Northbound
North Carolina,I-73,12240,Exit 94,EXIT 94,Old Randleman Road,"Greensboro, North Carolina",https://www.iexitapp.com/North%20Carolina/I-73/Exit%2094/12240,35.983284,-79.823752,http://maps.google.com/maps?t=m&q=loc:35.983284+-79.823752,Northbound
