state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,Suncoast Parkway,41966,Exit 2A,EXIT 2A,SR 60 west – Clearwater (Bayport Drive),"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%202A/41966,27.971965,-82.546975,http://maps.google.com/maps?t=m&q=loc:27.971965+-82.546975,Northbound
Florida,Suncoast Parkway,41932,Exit 2B,EXIT 2B,Independence Parkway,"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%202B/41932,27.971789,-82.546508,http://maps.google.com/maps?t=m&q=loc:27.971789+-82.546508,Northbound
Florida,Suncoast Parkway,41934,Exit 4,EXIT 4,SR 580 (Hillsborough Avenue),"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%204/41934,27.988066,-82.545866,http://maps.google.com/maps?t=m&q=loc:27.988066+-82.545866,Northbound
Florida,Suncoast Parkway,41935,Exit 6A,EXIT 6A,CR 584 (Waters Avenue),"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%206A/41935,28.020951,-82.544402,http://maps.google.com/maps?t=m&q=loc:28.020951+-82.544402,Northbound
Florida,Suncoast Parkway,41936,Exit 6B,EXIT 6B,Anderson Road,"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%206B/41936,28.030353,-82.544139,http://maps.google.com/maps?t=m&q=loc:28.030353+-82.544139,Northbound
Florida,Suncoast Parkway,41937,Exit 7,EXIT 7,Linebaugh Avenue west,"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%207/41937,28.040833,-82.559081,http://maps.google.com/maps?t=m&q=loc:28.040833+-82.559081,Northbound
Florida,Suncoast Parkway,41938,Exit 9,EXIT 9,CR 587 (Gunn Highway),"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%209/41938,28.062168,-82.56932,http://maps.google.com/maps?t=m&q=loc:28.062168+-82.56932,Northbound
Florida,Suncoast Parkway,41939,Exit 10,EXIT 10,Ehrlich Road,"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2010/41939,28.073695,-82.563369,http://maps.google.com/maps?t=m&q=loc:28.073695+-82.563369,Northbound
Florida,Suncoast Parkway,41940,Exit 12,EXIT 12,Hutchison Road,"Tampa, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2012/41940,28.092655,-82.544849,http://maps.google.com/maps?t=m&q=loc:28.092655+-82.544849,Northbound
Florida,Suncoast Parkway,41941,Exit 13,EXIT 13,To SR 597 (Dale Mabry Highway) (via SR 568 east),"Lutz, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2013/41941,28.118143,-82.54588,http://maps.google.com/maps?t=m&q=loc:28.118143+-82.54588,Northbound
Florida,Suncoast Parkway,41942,Exit 14,EXIT 14,CR 685A (Van Dyke Road),"Lutz, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2014/41942,28.12314,-82.546441,http://maps.google.com/maps?t=m&q=loc:28.12314+-82.546441,Northbound
Florida,Suncoast Parkway,41943,Exit 16,EXIT 16,CR 582 (Lutz Lake Fern Road),"Lutz, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2016/41943,28.156392,-82.537727,http://maps.google.com/maps?t=m&q=loc:28.156392+-82.537727,Northbound
Florida,Suncoast Parkway,41944,Exit 19,EXIT 19,"SR 54 – New Port Richey, Zephyrhills","Lutz, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2019/41944,28.183412,-82.539251,http://maps.google.com/maps?t=m&q=loc:28.183412+-82.539251,Northbound
Florida,Suncoast Parkway,41945,Exit 27,EXIT 27,"SR 52 – San Antonio, Dade City, New Port Richey","Land O Lakes, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2027/41945,28.324859,-82.552948,http://maps.google.com/maps?t=m&q=loc:28.324859+-82.552948,Northbound
Florida,Suncoast Parkway,41946,Exit 37,EXIT 37,CR 578 (County Line Road),"Spring Hill, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2037/41946,28.4278,-82.484952,http://maps.google.com/maps?t=m&q=loc:28.4278+-82.484952,Northbound
Florida,Suncoast Parkway,41947,Exit 41,EXIT 41,"CR 574 – Spring Hill, Airport","Spring Hill, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2041/41947,28.477692,-82.480416,http://maps.google.com/maps?t=m&q=loc:28.477692+-82.480416,Northbound
Florida,Suncoast Parkway,41948,Exit 46,EXIT 46,"SR 50 – Brooksville, Weeki Wachee","Spring Hill, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%2046/41948,28.527298,-82.479182,http://maps.google.com/maps?t=m&q=loc:28.527298+-82.479182,Northbound
Florida,Suncoast Parkway,41949,US 98 (SR 700) – Crystal River,EXIT,US 98 (SR 700) – Crystal River,"Brooksville, Florida",https://www.iexitapp.com/Florida/Suncoast%20Parkway/Exit%20/41949,28.679474,-82.496585,http://maps.google.com/maps?t=m&q=loc:28.679474+-82.496585,Northbound
